date,old_sql_swe_mm,old_zonal_area_m2,old_zonal_mean_swe_mm,new_area_m2,new_mean_swe_mm,new_zonal_weighted_mean_swe_mm
2023-10-01,0.011769637559654333,19094472001.5,0.09371979311529532,19111977644.75,0.09358790130345969,0.09348467443547342
2023-10-02,0.008093641171159554,19094472001.5,0.08367414821390143,19111977644.75,0.0835624962558111,0.08347032734669503
2023-10-03,0.004062943376757385,19094472001.5,0.07229705630897408,19111977644.75,0.07221998264176772,0.07214032445400734
2023-10-04,0.00032245582355217337,19094472001.5,0.018500737654691804,19111977644.75,0.01851088896247046,0.01849047156807841
2023-10-05,0.0,19094472001.5,0.002489381047150169,19111977644.75,0.0024820505158173333,0.0024793128296702665
2023-10-06,0.0,19094472001.5,0.0006465581000626468,19111977644.75,0.0006434258215846116,0.0006427161269401265
2023-10-07,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-08,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-09,0.0,19094472001.5,0.0,19111977644.75,0.0,0.0
2023-10-10,0.0,19094472001.5,0.00038796793721926874,19111977644.75,0.0003881751418841338,0.00038774698713796746
2023-10-11,0.4866825744872957,19094472001.5,0.37944000477831874,19111977644.75,0.37940766823731725,0.38112367567280786
2023-10-12,1.020443699213209,19094472001.5,0.8162034295836654,19111977644.75,0.8151847707347647,0.8178404121257052
2023-10-13,0.5050625564297666,19094472001.5,0.5628418482111054,19111977644.75,0.5616647947270779,0.5622216526520336
2023-10-14,0.2497742809235125,19094472001.5,0.43527788785046845,19111977644.75,0.4343283835670053,0.434212538016134
2023-10-15,0.07123049142267494,19094472001.5,0.30006913873872965,19111977644.75,0.29940433645716796,0.29908462828188787
2023-10-16,0.0004514381529730427,19094472001.5,0.12539801373018025,19111977644.75,0.12515986998517883,0.12502181943381274
2023-10-17,0.0,19094472001.5,0.030573399601452743,19111977644.75,0.03053658883941914,0.030502907173509605
2023-10-18,0.0,19094472001.5,0.016531235177130295,19111977644.75,0.01651576227685116,0.016497545494676323
2023-10-19,0.0,19094472001.5,0.005013625790521513,19111977644.75,0.005009123300027571,0.005003598268453861
2023-10-20,0.0,19094472001.5,0.0011314767329164322,19111977644.75,0.0011326500642209521,0.0011314007583061324
2023-10-21,0.0,19094472001.5,0.0006465581000626468,19111977644.75,0.0006472286156092562,0.0006465147265068198
2023-10-22,0.0,19094472001.5,0.0004202627904757125,19111977644.75,0.00042069861324126273,0.00042023458531023503
2023-10-23,0.0,19094472001.5,0.0004202627904757125,19111977644.75,0.00042069861324126273,0.00042023458531023503
2023-10-24,0.0,19094472001.5,0.0003232790500313234,19111977644.75,0.0003236143078046281,0.0003232573632534099
2023-10-25,0.23352250741648298,19094472001.5,1.0761781898766045,19111977644.75,1.073140683641531,1.077499881644135
2023-10-26,3.9894879401523275,19094472001.5,7.148069146178063,19111977644.75,7.136776529236174,7.1537965089217925
2023-10-27,4.070166387205076,19094472001.5,7.071813304451308,19111977644.75,7.060649477052426,7.077820585615695
2023-10-28,3.8610215400491112,19094472001.5,6.916830425327113,19111977644.75,6.905755489114697,6.922951126932032
2023-10-29,3.4997420353412534,19094472001.5,6.521454359779316,19111977644.75,6.510564118499394,6.527449313415456
2023-10-30,2.86656778021415,19094472001.5,5.59567468210383,19111977644.75,5.584372091161235,5.601183716371439
2023-10-31,2.2623500580420752,19094472001.5,4.349305364391162,19111977644.75,4.338442928763021,4.354879474606686
2023-11-01,1.7176576808977342,19094472001.5,3.140737611836346,19111977644.75,3.1322579890954,3.146576570193538
2023-11-02,0.7514510512059898,19094472001.5,1.6593495971365526,19111977644.75,1.654898222653896,1.6635550947121291
2023-11-03,0.00206371727073391,19094472001.5,0.03643923202518227,19111977644.75,0.0364376106133147,0.036447138224313926
2023-11-04,0.0,19094472001.5,0.015363261209267235,19111977644.75,0.015309659631072958,0.015292773172549574
2023-11-05,0.025054817490003888,19094472001.5,0.04123367207066208,19111977644.75,0.041160666403521465,0.041115266446712026
2023-11-06,0.05546240165097375,19094472001.5,0.10406825950756834,19111977644.75,0.10396369900676723,0.10392586778738593
2023-11-07,3.4749451825100333,19094472001.5,2.13970708992458,19111977644.75,2.140753506859598,2.1549884465532343
2023-11-08,3.657906616793538,19094472001.5,2.8889523403937893,19111977644.75,2.887814010843394,2.9052204636309344
2023-11-09,3.514800722301082,19094472001.5,2.791275116424083,19111977644.75,2.790141488972979,2.807346972495706
2023-11-10,3.370953179414456,19094472001.5,2.719956523415043,19111977644.75,2.7182304661549295,2.7352353905839677
2023-11-11,3.3816264671740353,19094472001.5,2.7987522353039944,19111977644.75,2.7966097034208923,2.814376963353251
2023-11-12,3.1962788597962435,19094472001.5,2.5502230412621825,19111977644.75,2.5485328892508172,2.565503951652207
2023-11-13,2.9439249322842973,19094472001.5,2.2864711469909267,19111977644.75,2.285189561611244,2.300513625206476
2023-11-14,2.937572552560321,19094472001.5,2.321130817553262,19111977644.75,2.3199419070849427,2.3352476132077977
2023-11-15,2.8543144589191467,19094472001.5,2.1034521947927143,19111977644.75,2.102497547173849,2.1156888626058077
2023-11-16,2.5605894492454686,19094472001.5,1.671891669845919,19111977644.75,1.6717042496863252,1.6807442252665694
2023-11-17,2.37766026054431,19094472001.5,1.496566185508641,19111977644.75,1.496530343419571,1.5040574968572145
2023-11-18,2.0006771572294597,19094472001.5,1.2871413621314387,19111977644.75,1.2867726936943766,1.292392679014836
2023-11-19,3.1246291758030003,19094472001.5,1.4445093701691236,19111977644.75,1.4435609584120361,1.4490959534303183
2023-11-20,6.65036115052245,19094472001.5,3.1224838845914786,19111977644.75,3.1202536250084663,3.131628451839265
2023-11-21,5.472881465239362,19094472001.5,2.4752647497883937,19111977644.75,2.4733109051124957,2.4838986000024206
2023-11-22,4.102798916548561,19094472001.5,1.817146816500048,19111977644.75,1.8158727541170137,1.823701349793126
2023-11-23,3.752095962853183,19094472001.5,1.7281492415683757,19111977644.75,1.7268624807317408,1.7342818243502347
2023-11-24,3.5220559783310263,19094472001.5,1.6865375018692768,19111977644.75,1.685302719672719,1.692532172114514
2023-11-25,3.3575390171546893,19094472001.5,1.6244081739303957,19111977644.75,1.6232344276470838,1.6301782206886921
2023-11-26,3.1471365922869015,19094472001.5,1.547297315075051,19111977644.75,1.5461844216097944,1.5526659465092303
2023-11-27,2.9410873210370463,19094472001.5,1.483678434947445,19111977644.75,1.4825734600636162,1.4886453557363797
2023-11-28,2.7038243260673536,19094472001.5,1.4096422450869581,19111977644.75,1.4085630076309867,1.414170090295375
2023-11-29,2.5767444860054414,19094472001.5,1.3621814851930232,19111977644.75,1.361185745888846,1.366531753302512
2023-11-30,2.5272152715078215,19094472001.5,1.3425837951722892,19111977644.75,1.3416249837893746,1.3468485124838643
2023-12-01,5.5754546627112775,19094472001.5,4.009407026934216,19111977644.75,4.004468640858941,4.014684229568086
2023-12-02,12.317586740616022,19094472001.5,10.460900784893662,19111977644.75,10.442434521371013,10.46429495567836
2023-12-03,19.89800722301005,19094472001.5,13.664515509756075,19111977644.75,13.643667206713156,13.687347677457325
2023-12-04,16.606442667354475,19094472001.5,10.457404055232148,19111977644.75,10.44113957056687,10.48249414784697
2023-12-05,12.93109119050682,19094472001.5,5.696334358415115,19111977644.75,5.694509536332135,5.721793454450494
2023-12-06,9.713691474267987,19094472001.5,3.455540128578376,19111977644.75,3.4573401035170077,3.4724251304023612
2023-12-07,11.063910744227465,19094472001.5,4.161049638943088,19111977644.75,4.161451074383903,4.178741817728411
2023-12-08,22.490842254610385,19094472001.5,11.276009784092498,19111977644.75,11.26721132890584,11.292803457394719
2023-12-09,22.870114794272585,19094472001.5,14.126830399345431,19111977644.75,14.113762241730711,14.142368037282134
2023-12-10,22.483038823680488,19094472001.5,14.654456761950835,19111977644.75,14.637165008186134,14.665837388109667
2023-12-11,22.794853605055334,19094472001.5,10.990451861542102,19111977644.75,10.982933778963377,11.016743736694876
2023-12-12,28.47233329033912,19094472001.5,16.17027788441733,19111977644.75,16.163887301310293,16.217757828169095
2023-12-13,26.937411324648206,19094472001.5,14.974532335676734,19111977644.75,14.968526092889205,15.019780891962457
2023-12-14,25.89159035212151,19094472001.5,13.81110417644801,19111977644.75,13.805559966076586,13.853979230221693
2023-12-15,25.11256932800198,19094472001.5,12.783139837873952,19111977644.75,12.77826434694142,12.824234646619544
2023-12-16,24.88082032761472,19094472001.5,15.983784963648635,19111977644.75,15.981607358848649,16.037043624548023
2023-12-17,23.919579517605733,19094472001.5,15.162296759230557,19111977644.75,15.159677002479995,15.213603467251604
2023-12-18,22.704856184702237,19094472001.5,13.821225478070135,19111977644.75,13.817450378113694,13.86826521098338
2023-12-19,20.305139945827182,19094472001.5,11.933656228789893,19111977644.75,11.927767167523479,11.973678039353306
2023-12-20,18.17725396620619,19094472001.5,11.860892963807897,19111977644.75,11.850642064901232,11.89709335244452
2023-12-21,16.748677931123332,19094472001.5,10.739554905149243,19111977644.75,10.730388872425474,10.773099217025104
2023-12-22,15.845027731200712,19094472001.5,9.74542786000718,19111977644.75,9.737649897426587,9.77684100353636
2023-12-23,15.804398297433107,19094472001.5,10.692215796372647,19111977644.75,10.681652818494664,10.720788176995315
2023-12-24,15.361892170772494,19094472001.5,10.320112203253323,19111977644.75,10.309697778857624,10.347512736467273
2023-12-25,15.210112214626442,19094472001.5,9.96044616998334,19111977644.75,9.950495466218278,9.987370858454842
2023-12-26,15.900264413774938,19094472001.5,9.280471378112168,19111977644.75,9.272499583762876,9.309772123230465
2023-12-27,18.338062685411867,19094472001.5,10.33390420701261,19111977644.75,10.323873243575006,10.366941238214208
2023-12-28,18.39484715593948,19094472001.5,10.05610014275079,19111977644.75,10.046885264646594,10.090691192223085
2023-12-29,17.827260415322986,19094472001.5,10.240647906138578,19111977644.75,10.232779473341878,10.278176600988266
2023-12-30,15.513897845995022,19094472001.5,9.060364225359937,19111977644.75,9.0523472202283,9.092852094773043
2023-12-31,15.266058300012768,19094472001.5,8.879201277605446,19111977644.75,8.871267434934936,8.91126090938388
2024-01-01,14.816329162904584,19094472001.5,8.60289655020282,19111977644.75,8.595212904910918,8.633771361628217
2024-01-02,14.43960402424865,19094472001.5,8.377094097271273,19111977644.75,8.369592084888819,8.406910095033197
2024-01-03,16.293789500837672,19094472001.5,8.332189446138115,19111977644.75,8.325361571385663,8.362226387445906
2024-01-04,16.53869469882557,19094472001.5,8.39391587598591,19111977644.75,8.386345463259733,8.422567285903485
2024-01-05,20.436734167418063,19094472001.5,11.591389398811732,19111977644.75,11.581530484597767,11.631419307338417
2024-01-06,20.192086934089545,19094472001.5,11.422054654292873,19111977644.75,11.412503427926683,11.462222686195142
2024-01-07,36.0040951889587,19094472001.5,26.37000034277367,19111977644.75,26.358230634249047,26.412193758730353
2024-01-08,39.94240938991405,19094472001.5,34.601035636786165,19111977644.75,34.57349348854467,34.630659477661276
2024-01-09,42.42341674190625,19094472001.5,39.71996028811953,19111977644.75,39.682961906979,39.74735313923232
2024-01-10,52.238617309427404,19094472001.5,49.23341346369003,19111977644.75,49.18844001383635,49.27237092988787
2024-01-11,72.38501225332065,19094472001.5,63.7281193305076,19111977644.75,63.668851600540115,63.75949702739647
2024-01-12,74.28234231910216,19094472001.5,74.85958586185005,19111977644.75,74.78247021438624,74.87610134030139
2024-01-13,81.48890751966982,19094472001.5,85.54012636045738,19111977644.75,85.45853428130093,85.56460267188922
2024-01-14,97.54333806268505,19094472001.5,105.04385956909516,19111977644.75,104.94229643335994,105.06225538419656
2024-01-15,93.78156842512543,19094472001.5,104.4370703857199,19111977644.75,104.32688106451059,104.44997212456903
2024-01-16,91.13053011737301,19094472001.5,102.93324896481181,19111977644.75,102.81735692323431,102.94179018264126
2024-01-17,100.01489745904823,19094472001.5,112.74705555265052,19111977644.75,112.64020256756812,112.76957719773493
2024-01-18,101.23349026183404,19094472001.5,111.04350056026772,19111977644.75,110.9082672269891,111.0635089639658
2024-01-19,96.75967367470597,19094472001.5,102.94874889820049,19111977644.75,102.81921845901121,102.98302278768762
2024-01-20,90.93947504191891,19094472001.5,97.20082038388189,19111977644.75,97.0683463706387,97.23654407149772
2024-01-21,88.80481749000383,19094472001.5,94.72496549953608,19111977644.75,94.58491234746052,94.75902681066313
2024-01-22,86.77447439700816,19094472001.5,88.99475661318395,19111977644.75,88.86041563574362,89.04355867698672
2024-01-23,85.42051463949382,19094472001.5,83.67827108216646,19111977644.75,83.55171778402715,83.74213458401152
2024-01-24,82.93670192183609,19094472001.5,79.57616887213628,19111977644.75,79.45443965496735,79.64691681775183
2024-01-25,84.89878111698695,19094472001.5,82.57452460650435,19111977644.75,82.44684961260567,82.65416816393756
2024-01-26,84.11237585450833,19094472001.5,80.18045363692157,19111977644.75,80.05846675765495,80.26861309683534
2024-01-27,84.30942860828064,19094472001.5,78.68755814916942,19111977644.75,78.56643675029136,78.78490806463861
2024-01-28,78.09844576293067,19094472001.5,68.5883948138032,19111977644.75,68.48829636740594,68.70338562154504
2024-01-29,71.0247968528313,19094472001.5,60.10613302104451,19111977644.75,60.02248407281777,60.228686332283544
2024-01-30,68.76315619760086,19094472001.5,60.74333196642654,19111977644.75,60.63991318214851,60.84008645187629
2024-01-31,61.16896685154127,19094472001.5,54.926990070994215,19111977644.75,54.831272910535745,55.02198611346376
2024-02-01,55.38430285050932,19094472001.5,46.65157449748793,19111977644.75,46.56917476356708,46.74381952890336
2024-02-02,57.186379466013136,19094472001.5,51.051192388612655,19111977644.75,50.95280295637526,51.13571479204737
2024-02-03,61.455759061004514,19094472001.5,51.38600998872881,19111977644.75,51.29202812147659,51.4778342204318
2024-02-04,60.8444473107142,19094472001.5,50.47019939429487,19111977644.75,50.378984738036976,50.56340429596981
2024-02-05,63.46169224816344,19094472001.5,49.67203877004533,19111977644.75,49.583360632369185,49.76699975705787
2024-02-06,65.27953695343722,19094472001.5,53.37887968742394,19111977644.75,53.285469308114465,53.48059734989728
2024-02-07,67.34312524184341,19094472001.5,55.125737158621256,19111977644.75,55.03060812142871,55.22991829093368
2024-02-08,70.16358183928999,19094472001.5,55.52371697866872,19111977644.75,55.43074393482596,55.632178665245334
2024-02-09,75.57113375467584,19094472001.5,60.80931561863228,19111977644.75,60.71517928002014,60.92134498302125
2024-02-10,75.52366825744924,19094472001.5,60.94875304727313,19111977644.75,60.85466195073251,61.06130367152796
2024-02-11,74.86621307880898,19094472001.5,60.37052925394697,19111977644.75,60.27731126027976,60.48446700821312
2024-02-12,73.26770282471335,19094472001.5,58.96589539395416,19111977644.75,58.87510291076229,59.08366667886636
2024-02-13,73.0276022184968,19094472001.5,63.459996466413216,19111977644.75,63.34937983918122,63.55892813536934
2024-02-14,72.58712756352402,19094472001.5,62.88505257150705,19111977644.75,62.77597905335118,62.985857424351835
2024-02-15,82.61569714949052,19094472001.5,66.77397657634366,19111977644.75,66.66514772635865,66.88290892272278
2024-02-16,88.81571649684011,19094472001.5,73.70677515548057,19111977644.75,73.59240630303076,73.82679143684294
2024-02-17,87.65045788726907,19094472001.5,73.98767244012873,19111977644.75,73.86904012942588,74.10595716951737
2024-02-18,87.28933961047295,19094472001.5,73.2700770308672,19111977644.75,73.15111689505254,73.39005568438354
2024-02-19,87.23271636785798,19094472001.5,73.09210614323703,19111977644.75,72.97405383677152,73.21661218185116
2024-02-20,91.7036630981555,19094472001.5,71.94666284809078,19111977644.75,71.82974169692974,72.0749498130401
2024-02-21,92.10325035470147,19094472001.5,73.65254043517915,19111977644.75,73.52641872439723,73.77667076547021
2024-02-22,92.98110408874022,19094472001.5,75.08726034613261,19111977644.75,74.96180198087607,75.22018160797185
2024-02-23,91.75212820843534,19094472001.5,74.06434235752292,19111977644.75,73.94139240500176,74.20069324368242
2024-02-24,90.18305817103074,19094472001.5,74.10498605042324,19111977644.75,73.9782645005467,74.23695976020167
2024-02-25,88.23413517348152,19094472001.5,72.48211920593394,19111977644.75,72.35889227797091,72.61802955962906
2024-02-26,85.5925448213592,19094472001.5,71.2909123908361,19111977644.75,71.16717532929253,71.42661107889892
2024-02-27,94.83848187798368,19094472001.5,89.63864715652123,19111977644.75,89.48224832255278,89.75875325497316
2024-02-28,94.51328517993144,19094472001.5,90.54453276518623,19111977644.75,90.38511599663876,90.66354474848087
2024-02-29,93.167644782665,19094472001.5,89.14185183579126,19111977644.75,88.98336696870311,89.26639209354973
2024-03-01,115.02089513736676,19094472001.5,110.02303134568992,19111977644.75,109.84805349419229,110.14902432493962
2024-03-02,143.0489487940157,19094472001.5,121.24363392571779,19111977644.75,121.07942343518843,121.38240071422385
2024-03-03,160.79259641429013,19094472001.5,126.2027459780654,19111977644.75,126.04134474057986,126.34723072523869
2024-03-04,169.76757384238311,19094472001.5,131.89284592430022,19111977644.75,131.7272054415176,132.03401413642032
2024-03-05,178.47629949696594,19094472001.5,140.51904389994027,19111977644.75,140.35696065756247,140.66713304041815
2024-03-06,191.4245130917068,19094472001.5,148.37058462548404,19111977644.75,148.19799515913763,148.50981632996124
2024-03-07,189.0471752869855,19094472001.5,147.50249944051114,19111977644.75,147.32992032786893,147.64193251684483
2024-03-08,187.3481555526902,19094472001.5,146.7592799026193,19111977644.75,146.58631171488327,146.89861924142122
2024-03-09,182.9359602734428,19094472001.5,144.05399846857122,19111977644.75,143.87985555075,144.19323564516836
2024-03-10,179.72249451825013,19094472001.5,141.59416078106224,19111977644.75,141.4221154593573,141.74133179486256
2024-03-11,180.55830001289667,19094472001.5,142.25043998012225,19111977644.75,142.07108592440645,142.3987018720906
2024-03-12,177.43170385657086,19094472001.5,144.07208920563684,19111977644.75,143.89204120426334,144.2233705787861
2024-03-13,180.62204952921547,19094472001.5,145.96427676628227,19111977644.75,145.77898006011645,146.1218846939384
2024-03-14,177.96897974977506,19094472001.5,147.28466079349565,19111977644.75,147.08959428559353,147.43103477907016
2024-03-15,172.70985424996792,19094472001.5,144.07800634846714,19111977644.75,143.88265519339728,144.22637840531596
2024-03-16,164.58467689926505,19094472001.5,137.96165451336205,19111977644.75,137.76890870936293,138.11658510408353
